date,meal_type,food_item,amount,serving_unit,grams,calories
2025-07-28,breakfast,Breakfast,with,Honey,1.0,0.0
2025-07-28,breakfast,Butter,1,serving,30.0,215.0
2025-07-28,dinner,Cooked,Lamb,Chop,1.0,0.0
2025-07-28,dinner,Lamb,Chop,1,0.0,100.0
2025-07-28,dinner,PreWork,Smoothie,1,0.0,450.0
2025-07-28,dinner,Cooked,Lamb,Chop,1.0,0.0
2025-07-28,lunch,Honey,1,serving,21.0,64.0
2025-07-28,lunch,Lamb,Chops,1,0.0,120.0
2025-07-28,lunch,Cooked,Lamb,Chops,1.0,0.0
2025-07-29,breakfast,PreWork,Smoothie,1,0.0,450.0
2025-07-29,breakfast,1,serving,400,840.0,1.05
2025-07-29,dinner,Cooked,Beef,Mince,1.0,0.0
2025-07-29,dinner,2,large,eggs,1.0,0.0
2025-07-29,dinner,Honey,1,serving,63.0,192.0
2025-07-29,lunch,Lamb,Curry,1,0.0,150.0
2025-07-29,lunch,Orange,Juice,With,0.0,1.0
2025-07-29,snack,1,serving,425,288.0,33.63
2025-07-30,breakfast,PreWork,Smoothie,1,0.0,450.0
2025-07-30,breakfast,Honey,and,Butter,1.0,0.0
2025-07-30,breakfast,Mince,and,Eggs,0.0,1.0
2025-07-30,dinner,Coconut,water,1,0.0,300.0
2025-07-30,dinner,Lamb,Chops,1,0.0,250.0
2025-07-30,dinner,Smoothie,1,serving,404.5,246.0
2025-07-30,lunch,Lamb,Chop,1,0.0,260.0
2025-07-31,breakfast,Butter,and,Honey,1.0,0.0
2025-07-31,breakfast,Smoothie,1,serving,750.0,218.0
2025-07-31,breakfast,Eggs,and,Beef,0.0,1.0
2025-07-31,breakfast,Honey,1,serving,31.0,94.0
2025-07-31,breakfast,Smoothie,1,serving,750.0,218.0
2025-07-31,breakfast,Butter,and,Honey,1.0,0.0
2025-07-31,breakfast,Honey,1,serving,31.0,94.0
2025-07-31,breakfast,Eggs,and,Beef,0.0,1.0
2025-07-31,dinner,Lamb,Chops,1,0.0,300.0
2025-07-31,dinner,Lamb,Chop,1,0.0,100.0
2025-07-31,dinner,Lamb,Chops,1,0.0,300.0
2025-07-31,dinner,Lamb,Chop,1,0.0,100.0
2025-07-31,lunch,Lamb,Forequarter,Chops,1.5,0.0
2025-07-31,lunch,Honey,and,Butter,1.0,0.0
2025-07-31,lunch,Honey,and,Butter,1.0,0.0
2025-07-31,lunch,Lamb,Forequarter,Chops,1.5,0.0
2025-07-31,snack,1,serving,492,275.0,69.12
2025-07-31,snack,1,serving,492,275.0,69.12
2025-08-01,breakfast,Honey,with,Butter,1.0,0.0
2025-08-01,breakfast,1,serving,335,183.0,45.94
2025-08-01,breakfast,Lamb,Mince,with,0.0,1.0
2025-08-01,breakfast,Coconut,Water,and,0.0,1.0
2025-08-01,breakfast,Coconut,Water,and,0.0,1.0
2025-08-01,breakfast,Honey,with,Butter,1.0,0.0
2025-08-01,breakfast,Lamb,Mince,with,0.0,1.0
2025-08-01,breakfast,1,serving,335,183.0,45.94
2025-08-01,dinner,Lamb,Chops,1,0.0,200.0
2025-08-01,dinner,Baileys,1,serving,80.0,262.0
2025-08-01,dinner,Lamb,Mince,1,0.0,100.0
2025-08-01,dinner,Baileys,1,serving,80.0,262.0
2025-08-01,dinner,Lamb,Mince,1,0.0,100.0
2025-08-01,dinner,Lamb,Chops,1,0.0,200.0
2025-08-01,lunch,Honey,1,serving,21.0,64.0
2025-08-01,lunch,Lamb,Chops,1,0.0,200.0
2025-08-01,lunch,Honey,1,serving,21.0,64.0
2025-08-01,lunch,Lamb,Chops,1,0.0,200.0
2025-08-01,snack,Fruit,Smoothie,1,0.0,621.0
2025-08-01,snack,Honey,1,serving,21.0,64.0
2025-08-01,snack,Honey,1,serving,21.0,64.0
2025-08-01,snack,Fruit,Smoothie,1,0.0,621.0
2025-08-02,breakfast,1,serving,492,233.0,57.26
2025-08-02,breakfast,Honey,and,Ghee,1.0,0.0
2025-08-02,breakfast,Beef,Mince,and,0.0,0.0
2025-08-02,breakfast,1,serving,492,233.0,57.26
2025-08-02,breakfast,Honey,and,Ghee,1.0,0.0
2025-08-02,breakfast,Beef,Mince,and,0.0,0.0
2025-08-02,dinner,Coconut,Water,1,0.0,300.0
2025-08-02,dinner,Beef,mince,and,0.0,0.0
2025-08-02,dinner,Coconut,Water,1,0.0,300.0
2025-08-02,dinner,Beef,mince,and,0.0,0.0
2025-08-02,lunch,Forequarter,Lamb,Chops,1.0,0.0
2025-08-02,lunch,1,serving,737.5,322.0,79.01
2025-08-02,lunch,1,serving,737.5,322.0,79.01
2025-08-02,lunch,Forequarter,Lamb,Chops,1.0,0.0
2025-08-02,snack,Honey,and,Ghee,1.0,0.0
2025-08-02,snack,Honey,1,serving,21.0,64.0
2025-08-02,snack,Honey,and,Ghee,1.0,0.0
2025-08-02,snack,Honey,1,serving,21.0,64.0
2025-08-03,breakfast,Ghee,and,Honey,1.0,0.0
2025-08-03,breakfast,Ghee,and,Honey,1.0,0.0
2025-08-03,dinner,Lamb,Chops,1,0.0,300.0
2025-08-03,dinner,Lamb,Chops,1,0.0,300.0
2025-08-03,lunch,Fruit,and,Coconut,0.0,0.0
2025-08-03,lunch,Lamb,Forequarter,Chops,1.0,0.0
2025-08-03,lunch,Beef,Mince,and,0.0,1.0
2025-08-03,lunch,Honey,1,serving,21.0,64.0
2025-08-03,lunch,1,serving,471,211.0,50.91
2025-08-03,lunch,1,serving,471,211.0,50.91
2025-08-03,lunch,Honey,1,serving,21.0,64.0
2025-08-03,lunch,Beef,Mince,and,0.0,1.0
2025-08-03,lunch,Fruit,and,Coconut,0.0,0.0
2025-08-03,lunch,Lamb,Forequarter,Chops,1.0,0.0
2025-08-03,snack,Honey,1,serving,42.0,128.0
2025-08-03,snack,Honey,1,serving,42.0,128.0
2025-08-04,breakfast,1,serving,688,358.0,89.14
2025-08-04,breakfast,Beef,Mince,with,0.0,1.0
2025-08-04,breakfast,1,serving,450,269.0,47.77
2025-08-04,breakfast,1,serving,450,269.0,47.77
2025-08-04,breakfast,Beef,Mince,with,0.0,1.0
2025-08-04,breakfast,1,serving,688,358.0,89.14
2025-08-04,dinner,Beef,Mince,1,0.0,200.0
2025-08-04,dinner,Beef,Mince,1,0.0,200.0
2025-08-04,lunch,Lamb,Forequarter,Chops,1.0,0.0
2025-08-04,lunch,1,serving,457,274.0,68.61
2025-08-04,lunch,Honey,1,serving,21.0,64.0
2025-08-04,lunch,Lamb,Forequarter,Chops,1.0,0.0
2025-08-04,lunch,1,serving,457,274.0,68.61
2025-08-04,lunch,Honey,1,serving,21.0,64.0
2025-08-04,snack,Honey,1,serving,10.0,30.0
2025-08-04,snack,Honey,1,serving,10.0,30.0
2025-08-05,breakfast,Coconut,Water,1,0.0,350.0
2025-08-05,breakfast,Honey,and,Butter,0.0,1.0
2025-08-05,breakfast,Beef,Mince,with,0.0,1.0
2025-08-05,breakfast,Honey,1,serving,21.0,64.0
2025-08-05,breakfast,Honey,1,serving,21.0,64.0
2025-08-05,breakfast,Beef,Mince,with,0.0,1.0
2025-08-05,breakfast,Coconut,Water,1,0.0,350.0
2025-08-05,breakfast,Honey,and,Butter,0.0,1.0
2025-08-05,dinner,Honey,1,serving,21.0,64.0
2025-08-05,dinner,Beef,Mince,1,0.0,400.0
2025-08-05,dinner,Honey,1,serving,21.0,64.0
2025-08-05,dinner,Beef,Mince,1,0.0,400.0
2025-08-05,lunch,Lamb,Forequarter,Chops,1.0,0.0
2025-08-05,lunch,1,serving,471,208.0,50.91
2025-08-05,lunch,Lamb,Forequarter,Chops,1.0,0.0
2025-08-05,lunch,Mango,Coconut,Drink,1.0,0.0
2025-08-05,snack,Ghee,and,Honey,1.0,0.0
2025-08-05,snack,Ghee,and,Honey,1.0,0.0
2025-08-06,breakfast,1,serving,613,316.0,78.26
2025-08-06,breakfast,Pure,Orange,Juice,1.0,0.0
2025-08-06,breakfast,Breakfast,with,Eggs,1.0,0.0
2025-08-06,breakfast,Beef,Mince,1,0.0,300.0
2025-08-06,dinner,Beef,Mince,1,0.0,400.0
2025-08-06,lunch,Honey,1,serving,84.0,255.0
2025-08-06,lunch,2,Lamb,Forequarter,0.0,1.0
2025-08-06,snack,Honey,1,serving,21.0,64.0
2025-08-06,snack,Honey,1,serving,21.0,64.0
2025-08-06,snack,Honey,1,serving,21.0,64.0
